"module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"GO:00002781","M34",72,72,2,1.01970174507578e-35,1.80171101337439e-31,45,0.625,0.0460593654042989,977,"GO:0000278","BP","mitotic cell cycle","Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."
"GO:0051301","M34",72,72,3,3.97126260160858e-31,7.0168238907822e-27,35,0.486111111111111,0.0622775800711744,562,"GO:0051301","BP","cell division","The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."
"GO:0000280","M34",72,72,4,4.87006515096409e-30,8.60491811523846e-26,30,0.416666666666667,0.0828729281767956,362,"GO:0000280","BP","nuclear division","The division of a cell nucleus into two nuclei, with DNA and other nuclear contents distributed between the daughter nuclei."
"GO:0048285","M34",72,72,5,1.33228720351454e-28,2.35401825988983e-24,30,0.416666666666667,0.0742574257425743,404,"GO:0048285","BP","organelle fission","The creation of two or more organelles by division of one organelle."
"GO:0007059","M34",72,72,6,2.48977132839789e-28,4.39917696014623e-24,28,0.388888888888889,0.0856269113149847,327,"GO:0007059","BP","chromosome segregation","The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."
"GO:00512761","M34",72,72,7,3.54605333898052e-28,6.26552164464468e-24,41,0.569444444444444,0.037037037037037,1107,"GO:0051276","BP","chromosome organization","A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."
"GO:0005694","M34",72,72,8,1.10269632843379e-27,1.94835414270967e-23,38,0.527777777777778,0.0418041804180418,909,"GO:0005694","CC","chromosome","A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."
"GO:0000819","M34",72,72,9,7.74434675846467e-25,1.36834862875312e-20,23,0.319444444444444,0.101321585903084,227,"GO:0000819","BP","sister chromatid segregation","The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets."
"GO:0006996","M34",72,72,10,1.36479681339812e-21,2.41145948959314e-17,55,0.763888888888889,0.0157502863688431,3492,"GO:0006996","BP","organelle organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
"GO:0006614","M38",368,363,1,9.26645526220727e-111,1.6372899802794e-106,76,0.209366391184573,0.835164835164835,91,"GO:0006614","BP","SRP-dependent cotranslational protein targeting to membrane","The targeting of proteins to a membrane that occurs during translation and is dependent upon two key components, the signal-recognition particle (SRP) and the SRP receptor. SRP is a cytosolic particle that transiently binds to the endoplasmic reticulum (ER) signal sequence in a nascent protein, to the large ribosomal unit, and to the SRP receptor in the ER membrane."
"GO:0006613","M38",368,363,2,1.68132600661907e-109,2.97073492109524e-105,77,0.212121212121212,0.802083333333333,96,"GO:0006613","BP","cotranslational protein targeting to membrane","The targeting of proteins to a membrane that occurs during translation. The transport of most secretory proteins, particularly those with more than 100 amino acids, into the endoplasmic reticulum lumen occurs in this manner, as does the import of some proteins into mitochondria."
"GO:0045047","M38",368,363,3,4.5015673042968e-104,7.95381926996202e-100,76,0.209366391184573,0.752475247524752,101,"GO:0045047","BP","protein targeting to ER","The process of directing proteins towards the endoplasmic reticulum (ER) using signals contained within the protein. One common mechanism uses a 16- to 30-residue signal sequence, typically located at the N-terminus of the protein and containing positively charged amino acids followed by a continuous stretch of hydrophobic residues, which directs the ribosome to the ER membrane and initiates transport of the growing polypeptide across the ER membrane."
"GO:0022626","M38",368,363,4,2.12589305442494e-102,3.75624043786342e-98,79,0.21763085399449,0.681034482758621,116,"GO:0022626","CC","cytosolic ribosome","A ribosome located in the cytosol."
"GO:0072599","M38",368,363,5,8.39489671438587e-102,1.48329430046484e-97,76,0.209366391184573,0.723809523809524,105,"GO:0072599","BP","establishment of protein localization to endoplasmic reticulum","The directed movement of a protein to a specific location in the endoplasmic reticulum."
"GO:0000184","M38",368,363,6,4.84915102118576e-95,8.56796493933313e-91,76,0.209366391184573,0.638655462184874,119,"GO:0000184","BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","The nonsense-mediated decay pathway for nuclear-transcribed mRNAs degrades mRNAs in which an amino-acid codon has changed to a nonsense codon; this prevents the translation of such mRNAs into truncated, and potentially harmful, proteins."
"GO:0003735","M38",368,363,7,2.10731108147534e-94,3.72340794985878e-90,83,0.228650137741047,0.532051282051282,156,"GO:0003735","MF","structural constituent of ribosome","The action of a molecule that contributes to the structural integrity of the ribosome."
"GO:0044391","M38",368,363,8,5.6841794562628e-94,1.00433766812707e-89,88,0.242424242424242,0.470588235294118,187,"GO:0044391","CC","ribosomal subunit","Either of the two subunits of a ribosome: the ribosomal large subunit or the ribosomal small subunit."
"GO:0070972","M38",368,363,9,6.79243318818474e-93,1.20015502002036e-88,77,0.212121212121212,0.596899224806202,129,"GO:0070972","BP","protein localization to endoplasmic reticulum","A process in which a protein is transported to, or maintained in, a location within the endoplasmic reticulum."
"GO:0005840","M38",368,363,10,1.48322136475115e-89,2.6207038293788e-85,92,0.253443526170799,0.394849785407725,233,"GO:0005840","CC","ribosome","An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins."
"GO:00057391","M26",128,125,1,6.74601239230699e-07,0.0119195292959672,33,0.264,0.0203578038247995,1621,"GO:0005739","CC","mitochondrion","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"GO:0006414","M26",128,125,2,1.37997723437586e-06,0.0243828177541871,9,0.072,0.0687022900763359,131,"GO:0006414","BP","translational elongation","The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis."
"GO:0070125","M26",128,125,3,7.58584136780037e-06,0.134034231127665,7,0.056,0.0804597701149425,87,"GO:0070125","BP","mitochondrial translational elongation","The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis in a mitochondrion."
"GO:0043231","M26",128,125,4,2.02951473133562e-05,0.35859495787969,100,0.8,0.010568590150074,9462,"GO:0043231","CC","intracellular membrane-bounded organelle","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"GO:0006415","M26",128,125,5,2.16397611931684e-05,0.382352940522092,7,0.056,0.0686274509803922,102,"GO:0006415","BP","translational termination","The process resulting in the release of a polypeptide chain from the ribosome, usually in response to a termination codon (UAA, UAG, or UGA in the universal genetic code)."
"GO:0043227","M26",128,125,6,4.32110307445558e-05,0.763495702225557,104,0.832,0.0102432778489117,10153,"GO:0043227","CC","membrane-bounded organelle","Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
"GO:0005762","M26",128,125,7,6.82246044001825e-05,1,5,0.04,0.0961538461538462,52,"GO:0005762","CC","mitochondrial large ribosomal subunit","The larger of the two subunits of a mitochondrial ribosome. Two sites on the ribosomal large subunit are involved in translation: the aminoacyl site (A site) and peptidyl site (P site)."
"GO:0005761","M26",128,125,8,7.30587181015027e-05,1,6,0.048,0.0705882352941176,85,"GO:0005761","CC","mitochondrial ribosome","A ribosome found in the mitochondrion of a eukaryotic cell; contains a characteristic set of proteins distinct from those of cytosolic ribosomes."
"GO:0005759","M26",128,125,9,7.38619609167684e-05,1,13,0.104,0.0294784580498866,441,"GO:0005759","CC","mitochondrial matrix","The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation."
"GO:0070126","M26",128,125,10,9.44945905173461e-05,1,6,0.048,0.0674157303370786,89,"GO:0070126","BP","mitochondrial translational termination","The process resulting in the release of a polypeptide chain from the ribosome in a mitochondrion, usually in response to a termination codon (note that mitochondria use variants of the universal genetic code that differ between different taxa)."
"GO:0003676","unassigned",9051,8735,1,2.19035882381375e-28,3.87014500579651e-24,1993,0.228162564396108,0.666555183946488,2990,"GO:0003676","MF","nucleic acid binding","Interacting selectively and non-covalently with any nucleic acid."
"GO:0003677","unassigned",9051,8735,2,2.59657770546383e-24,4.58789314778404e-20,1434,0.164167143674871,0.678014184397163,2115,"GO:0003677","MF","DNA binding","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"GO:00056342","unassigned",9051,8735,3,3.56163350752615e-21,6.29305024444796e-17,3896,0.446021751574127,0.623160588611644,6252,"GO:0005634","CC","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"GO:0097159","unassigned",9051,8735,4,5.76481249487662e-16,1.01858471971975e-11,3004,0.343903835145965,0.62544243181345,4803,"GO:0097159","MF","organic cyclic compound binding","Interacting selectively and non-covalently with an organic cyclic compound, any molecular entity that contains carbon arranged in a cyclic molecular structure."
"GO:00160701","unassigned",9051,8735,5,9.45778194123016e-16,1.67109549119596e-11,2652,0.303606182026331,0.62962962962963,4212,"GO:0016070","BP","RNA metabolic process","The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"GO:1990234","unassigned",9051,8735,6,2.15551868682071e-11,3.80858596774351e-07,516,0.0590726960503721,0.693548387096774,744,"GO:1990234","CC","transferase complex","A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."
"GO:0003700","unassigned",9051,8735,7,4.93705823676305e-11,8.72328819853664e-07,849,0.0971951917572982,0.66328125,1280,"GO:0003700","MF","DNA binding transcription factor activity","Interacting selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene in order to modulate transcription."
"GO:0019219","unassigned",9051,8735,8,5.3252455920211e-11,9.40917643654208e-07,2322,0.265827132226674,0.623690572119259,3723,"GO:0019219","BP","regulation of nucleobase-containing compound metabolic process","Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."
"GO:0032774","unassigned",9051,8735,9,5.53976502678148e-11,9.7882108258202e-07,2125,0.24327418431597,0.626474056603774,3392,"GO:0032774","BP","RNA biosynthetic process","The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."
"GO:0006281","unassigned",9051,8735,10,6.58542596499312e-11,1.16357891375464e-06,358,0.0409845449341729,0.716,500,"GO:0006281","BP","DNA repair","The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."
"GO:0030198","M2",91,90,1,8.61679617002058e-35,1.52250171528094e-30,34,0.377777777777778,0.111842105263158,304,"GO:0030198","BP","extracellular matrix organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix."
"GO:0043062","M2",91,90,2,1.02985400075045e-32,1.81964903392597e-28,34,0.377777777777778,0.0974212034383954,349,"GO:0043062","BP","extracellular structure organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of structures in the space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane, and also covers the host cell environment outside an intracellular parasite."
"GO:0032963","M2",91,90,3,4.04132076256836e-26,7.14060965538204e-22,20,0.222222222222222,0.210526315789474,95,"GO:0032963","BP","collagen metabolic process","The chemical reactions and pathways involving collagen, any of a group of fibrous proteins of very high tensile strength that form the main component of connective tissue in animals. Collagen is highly enriched in glycine (some regions are 33% glycine) and proline, occurring predominantly as 3-hydroxyproline (about 20%)."
"GO:0005578","M2",91,90,4,7.07668570605925e-25,1.25037959740361e-20,27,0.3,0.0903010033444816,299,"GO:0005578","CC","proteinaceous extracellular matrix","A layer consisting mainly of proteins (especially collagen) and glycosaminoglycans (mostly as proteoglycans) that forms a sheet underlying or overlying cells such as endothelial and epithelial cells. The proteins are secreted by cells in the vicinity. An example of this component is found in Mus musculus."
"GO:0031012","M2",91,90,5,7.49425538784235e-25,1.32415998447786e-20,29,0.322222222222222,0.0775401069518717,374,"GO:0031012","CC","extracellular matrix","A structure lying external to one or more cells, which provides structural support for cells or tissues."
"GO:0030574","M2",91,90,6,5.4189889355608e-24,9.57481155024237e-20,16,0.177777777777778,0.307692307692308,52,"GO:0030574","BP","collagen catabolic process","The proteolytic chemical reactions and pathways resulting in the breakdown of collagen in the extracellular matrix, usually carried out by proteases secreted by nearby cells."
"GO:0005201","M2",91,90,7,3.02419920110211e-21,5.34345756842732e-17,15,0.166666666666667,0.258620689655172,58,"GO:0005201","MF","extracellular matrix structural constituent","The action of a molecule that contributes to the structural integrity of the extracellular matrix."
"GO:0005581","M2",91,90,8,4.30319148688647e-20,7.6033090381797e-16,15,0.166666666666667,0.220588235294118,68,"GO:0005581","CC","collagen trimer","A protein complex consisting of three collagen chains assembled into a left-handed triple helix. These trimers typically assemble into higher order structures."
"GO:0005576","M2",91,90,9,1.24360573570065e-19,2.19732697440947e-15,46,0.511111111111111,0.0253863134657837,1812,"GO:0005576","CC","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"GO:0005788","M2",91,90,10,1.23435653607172e-18,2.18098456358512e-14,21,0.233333333333333,0.0833333333333333,252,"GO:0005788","CC","endoplasmic reticulum lumen","The volume enclosed by the membranes of the endoplasmic reticulum."
"GO:0035556","M3",95,94,1,9.45338366545494e-06,0.167031835984923,33,0.351063829787234,0.0132,2500,"GO:0035556","BP","intracellular signal transduction","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"GO:0065009","M3",95,94,2,2.09523952886713e-05,0.370207872355533,35,0.372340425531915,0.0123152709359606,2842,"GO:0065009","BP","regulation of molecular function","Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."
"GO:0007165","M3",95,94,3,5.38010751117855e-05,0.950611196150139,49,0.521276595744681,0.0100307062436029,4885,"GO:0007165","BP","signal transduction","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
"GO:0007009","M3",95,94,4,7.89796797046725e-05,1,5,0.0531914893617021,0.0704225352112676,71,"GO:0007009","BP","plasma membrane organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the plasma membrane."
"GO:0030449","M3",95,94,5,7.94066102309855e-05,1,4,0.0425531914893617,0.108108108108108,37,"GO:0030449","BP","regulation of complement activation","Any process that modulates the frequency, rate or extent of complement activation."
"GO:1902949","M3",95,94,6,0.000114516185088316,1,2,0.0212765957446809,0.666666666666667,3,"GO:1902949","BP","positive regulation of tau-protein kinase activity","Any process that activates or increases the frequency, rate or extent of tau-protein kinase activity."
"GO:1902531","M3",95,94,7,0.000132003069228518,1,23,0.24468085106383,0.0140586797066015,1636,"GO:1902531","BP","regulation of intracellular signal transduction","Any process that modulates the frequency, rate or extent of intracellular signal transduction."
"GO:0035089","M3",95,94,8,0.000149040945619981,1,3,0.0319148936170213,0.176470588235294,17,"GO:0035089","BP","establishment of apical/basal cell polarity","The specification and formation of the polarity of a cell along its apical/basal axis."
"GO:0061162","M3",95,94,9,0.000210474790634431,1,3,0.0319148936170213,0.157894736842105,19,"GO:0061162","BP","establishment of monopolar cell polarity","The specification and formation of monopolar intracellular organization or cell growth patterns. Monopolar cell organization is directional organization along an axis."
"GO:0097242","M3",95,94,10,0.000210474790634431,1,3,0.0319148936170213,0.157894736842105,19,"GO:0097242","BP","amyloid-beta clearance","The process in which amyloid-beta is removed from the brain via receptors."
"GO:00057431","M17",86,85,1,2.38916240464854e-26,4.22141105277351e-22,32,0.376470588235294,0.0665280665280665,481,"GO:0005743","CC","mitochondrial inner membrane","The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."
"GO:00057401","M17",86,85,2,8.94395100616779e-26,1.58030670327979e-21,36,0.423529411764706,0.0507757404795487,709,"GO:0005740","CC","mitochondrial envelope","The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."
"GO:00198661","M17",86,85,3,5.90231309633837e-25,1.04287970099203e-20,32,0.376470588235294,0.0600375234521576,533,"GO:0019866","CC","organelle inner membrane","The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites."
"GO:00319661","M17",86,85,4,3.36397340472184e-24,5.94380460880301e-20,34,0.4,0.0506706408345753,671,"GO:0031966","CC","mitochondrial membrane","Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."
"GO:00057392","M17",86,85,5,5.22987041082386e-24,9.24065802888468e-20,47,0.552941176470588,0.0289944478716841,1621,"GO:0005739","CC","mitochondrion","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"GO:00310901","M17",86,85,6,1.66237663413653e-11,2.93725327485583e-07,42,0.494117647058824,0.0158311345646438,2653,"GO:0031090","CC","organelle membrane","A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."
"GO:00701251","M17",86,85,7,5.20545032581661e-11,9.19751018068537e-07,10,0.117647058823529,0.114942528735632,87,"GO:0070125","BP","mitochondrial translational elongation","The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis in a mitochondrion."
"GO:00701261","M17",86,85,8,6.55646812862735e-11,1.15846235364717e-06,10,0.117647058823529,0.112359550561798,89,"GO:0070126","BP","mitochondrial translational termination","The process resulting in the release of a polypeptide chain from the ribosome in a mitochondrion, usually in response to a termination codon (note that mitochondria use variants of the universal genetic code that differ between different taxa)."
"GO:0032543","M17",86,85,9,1.55688574010859e-10,2.75086141419786e-06,11,0.129411764705882,0.0846153846153846,130,"GO:0032543","BP","mitochondrial translation","The chemical reactions and pathways resulting in the formation of a protein in a mitochondrion. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein; the mitochondrion has its own ribosomes and transfer RNAs, and uses a genetic code that differs from the nuclear code."
"GO:0007005","M17",86,85,10,1.63908911141632e-10,2.8961065509615e-06,19,0.223529411764706,0.0344202898550725,552,"GO:0007005","BP","mitochondrion organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a mitochondrion; includes mitochondrial morphogenesis and distribution, and replication of the mitochondrial genome as well as synthesis of new mitochondrial components."
"GO:0006521","M28",84,84,1,4.71782785693918e-13,8.33593004042584e-09,10,0.119047619047619,0.178571428571429,56,"GO:0006521","BP","regulation of cellular amino acid metabolic process","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving amino acids."
"GO:0000502","M28",84,84,2,1.93643926286939e-12,3.42149453356393e-08,10,0.119047619047619,0.15625,64,"GO:0000502","CC","proteasome complex","A large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria. In eukaryotes, this complex consists of the barrel shaped proteasome core complex and one or two associated proteins or complexes that act in regulating entry into or exit from the core."
"GO:1901532","M28",84,84,3,4.82079467518416e-12,8.51786211158289e-08,11,0.130952380952381,0.114583333333333,96,"GO:1901532","BP","regulation of hematopoietic progenitor cell differentiation","Any process that modulates the frequency, rate or extent of hematopoietic progenitor cell differentiation."
"GO:0031146","M28",84,84,4,4.93719036922653e-12,8.72352166338635e-08,10,0.119047619047619,0.142857142857143,70,"GO:0031146","BP","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, with ubiquitin-protein ligation catalyzed by an SCF (Skp1/Cul1/F-box protein) complex, and mediated by the proteasome."
"GO:0002479","M28",84,84,5,6.61399329533815e-12,1.1686264753533e-07,10,0.119047619047619,0.138888888888889,72,"GO:0002479","BP","antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent","The process in which an antigen-presenting cell expresses a peptide antigen of exogenous origin on its cell surface in association with an MHC class I protein complex following intracellular transport via a TAP (transporter associated with antigen processing) pathway. The peptide is typically a fragment of a larger exogenous protein which has been degraded within the cell and is dependent on TAP transport from the cytosol to ER for association with the MHC class I molecule. Class I here refers to classical class I molecules."
"GO:0042590","M28",84,84,6,1.00882824552438e-11,1.78249862701703e-07,10,0.119047619047619,0.133333333333333,75,"GO:0042590","BP","antigen processing and presentation of exogenous peptide antigen via MHC class I","The process in which an antigen-presenting cell expresses a peptide antigen of exogenous origin on its cell surface in association with an MHC class I protein complex. The peptide antigen is typically, but not always, processed from a whole protein. Class I here refers to classical class I molecules."
"GO:0061418","M28",84,84,7,1.15649558587675e-11,2.04341205068563e-07,10,0.119047619047619,0.131578947368421,76,"GO:0061418","BP","regulation of transcription from RNA polymerase II promoter in response to hypoxia","Any process that modulates the frequency, rate or extent of transcription from an RNA polymerase II promoter as a result of a hypoxia stimulus."
"GO:0031145","M28",84,84,8,1.51098323479943e-11,2.6697562775671e-07,10,0.119047619047619,0.128205128205128,78,"GO:0031145","BP","anaphase-promoting complex-dependent catabolic process","The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, with ubiquitin-protein ligation catalyzed by the anaphase-promoting complex, and mediated by the proteasome."
"GO:1902036","M28",84,84,9,4.61447877342512e-11,8.15332254476484e-07,10,0.119047619047619,0.114942528735632,87,"GO:1902036","BP","regulation of hematopoietic stem cell differentiation","Any process that modulates the frequency, rate or extent of hematopoietic stem cell differentiation."
"GO:0010972","M28",84,84,10,6.51022221532039e-11,1.15029116322496e-06,10,0.119047619047619,0.111111111111111,90,"GO:0010972","BP","negative regulation of G2/M transition of mitotic cell cycle","Any cell cycle regulatory process that decreases the rate or extent of progression of a cell from G2 to M phase of the mitotic cell cycle."
"GO:0015370","M11",222,218,1,1.92959376110974e-11,3.4093992165048e-07,12,0.055045871559633,0.214285714285714,56,"GO:0015370","MF","solute:sodium symporter activity","Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: solute(out) + Na+(out) = solute(in) + Na+(in)."
"GO:0006629","M11",222,218,2,2.16845570885769e-11,3.83144439198065e-07,50,0.229357798165138,0.04,1250,"GO:0006629","BP","lipid metabolic process","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"GO:0019433","M11",222,218,3,1.79765340953245e-10,3.17627380930289e-06,9,0.0412844036697248,0.310344827586207,29,"GO:0019433","BP","triglyceride catabolic process","The chemical reactions and pathways resulting in the breakdown of a triglyceride, any triester of glycerol."
"GO:0006641","M11",222,218,4,2.0940481305861e-10,3.69997364193258e-06,13,0.0596330275229358,0.154761904761905,84,"GO:0006641","BP","triglyceride metabolic process","The chemical reactions and pathways involving triglyceride, any triester of glycerol. The three fatty acid residues may all be the same or differ in any permutation. Triglycerides are important components of plant oils, animal fats and animal plasma lipoproteins."
"GO:0031224","M11",222,218,5,5.58764619301246e-10,9.87281205843372e-06,102,0.467889908256881,0.0246853823814134,4132,"GO:0031224","CC","intrinsic component of membrane","The component of a membrane consisting of the gene products having some covalently attached portion, for example part of a peptide sequence or some other covalently attached group such as a GPI anchor, which spans or is embedded in one or both leaflets of the membrane."
"GO:0016324","M11",222,218,6,6.39669478716438e-10,1.13023200194407e-05,20,0.0917431192660551,0.0796812749003984,251,"GO:0016324","CC","apical plasma membrane","The region of the plasma membrane located at the apical end of the cell."
"GO:0034378","M11",222,218,7,6.84162131212519e-10,1.2088460696394e-05,6,0.0275229357798165,0.666666666666667,9,"GO:0034378","BP","chylomicron assembly","The non-covalent aggregation and arrangement of proteins and lipids in the intestine to form a chylomicron."
"GO:0044281","M11",222,218,8,7.09194423199317e-10,1.25307562635087e-05,61,0.279816513761468,0.0321221695629279,1899,"GO:0044281","BP","small molecule metabolic process","The chemical reactions and pathways involving small molecules, any low molecular weight, monomeric, non-encoded molecule."
"GO:0045177","M11",222,218,9,7.79833647581858e-10,1.37788807191239e-05,22,0.100917431192661,0.0709677419354839,310,"GO:0045177","CC","apical part of cell","The region of a polarized cell that forms a tip or is distal to a base. For example, in a polarized epithelial cell, the apical region has an exposed surface and lies opposite to the basal lamina that separates the epithelium from other tissue."
"GO:0046464","M11",222,218,10,1.17565678871726e-09,2.07726797998453e-05,9,0.0412844036697248,0.257142857142857,35,"GO:0046464","BP","acylglycerol catabolic process","The chemical reactions and pathways resulting in the breakdown of acylglycerol, any mono-, di- or triester of glycerol with (one or more) fatty acids."
"GO:00056543","M35",98,98,1,6.09305633705396e-10,1.07658212419406e-05,49,0.5,0.0149253731343284,3283,"GO:0005654","CC","nucleoplasm","That part of the nuclear content other than the chromosomes or the nucleolus."
"GO:00160711","M35",98,98,2,7.2541666996905e-10,1.28173871416831e-05,23,0.23469387755102,0.0293742017879949,783,"GO:0016071","BP","mRNA metabolic process","The chemical reactions and pathways involving mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."
