Gene,ModuleA,pA,p.adjA,coefA,AUCA,ModuleH,pH,p.adjH,coefH,AUCH,ARank,HRank,RankSum,,A = anti-TNF
PTPN2,M6,0.007895027,0.075266538,-5.333969361,0.714285714,M6,0.150866443,0.534390929,-0.042005908,0.57008547,13523.5,10564,24087.5,,
FGFR4,M20,0.020701535,0.127792165,3.366618345,0.672077922,M20,0.067901224,0.39665315,0.05403336,0.583589744,12316,11770,24086,,
TPBG,unassigned,0.038215976,0.178738948,-2.095321794,0.641774892,unassigned,0.042929844,0.336106956,-0.14809743,0.602735043,10992,13092,24084,,
ABHD14B,M24,0.102825788,0.306512236,0.815221452,0.62012987,M24,0.005368671,0.169519533,0.063583614,0.629230769,9831,14243.5,24074.5,,
C8orf82,M16,0.020498586,0.127037929,1.929185591,0.675324675,M16,0.061437078,0.382393407,0.106916585,0.581880342,12434.5,11639,24073.5,,
GBP2,M7,0.125734991,0.342278588,-0.682362977,0.622294372,M7,0.046145052,0.343604581,-0.015401265,0.625299145,9945,14123.5,24068.5,,
SLC7A7,M11,0.162592684,0.393934123,-0.261101271,0.692640693,M11,0.276733161,0.662042276,-0.031189756,0.575384615,12966.5,11099,24065.5,,
SPOCK2,M6,0.014891717,0.106232216,-2.27368644,0.673160173,M6,0.194213086,0.584734017,-0.032869175,0.582735043,12355,11708,24063,,
CDS1,M20,0.027496667,0.149445429,1.824918139,0.666666667,M20,0.054992042,0.365672344,0.067701797,0.585811966,12100,11961,24061,,
ATP1B3,unassigned,0.068452587,0.245427568,2.104251929,0.634199134,unassigned,0.018431175,0.245803101,0.008393619,0.609059829,10596,13462,24058,,
PDSS1,M20,0.057695895,0.223902534,1.84242907,0.63961039,M20,0.040484335,0.328470064,0.122410505,0.604017094,10884,13172.5,24056.5,,
OGFRL1,M20,0.000757137,0.028315596,-3.195178083,0.791125541,M20,0.243360147,0.633057533,-0.148246123,0.55982906,14635,9417.5,24052.5,,
UBE2E2,unassigned,0.001924497,0.039238063,-1.729772604,0.752164502,unassigned,0.215037655,0.607086922,-0.078330195,0.563247863,14207,9842.5,24049.5,,
CBX6,M10,0.001878076,0.038953607,-2.669111645,0.742424242,M10,0.319764487,0.695422381,-0.064181058,0.564444444,14069,9978.5,24047.5,,
CBR3,unassigned,0.086830463,0.280558003,-0.847009441,0.619047619,unassigned,0.014615575,0.230279684,-0.192286971,0.630683761,9758.5,14286,24044.5,,
CRB3,M20,0.05963029,0.228094559,1.661104861,0.640692641,M20,0.042643333,0.334750167,0.037609539,0.603076923,10924.5,13118,24042.5,,
PTGDR2,unassigned,0.096313228,0.296316356,2.240206651,0.617965368,unassigned,0.004372909,0.16296795,0.550012377,0.632820513,9698.5,14341.5,24040,,
STEAP1,unassigned,0.009094088,0.080495725,-0.818681979,0.737012987,unassigned,0.237208596,0.627006872,-0.031798746,0.565128205,13989,10049.5,24038.5,,
FBLIM1,M6,0.023298224,0.136636004,1.920593865,0.708874459,M6,0.085171151,0.428287389,0.016323592,0.570598291,13399,10634,24033,,
HHEX,M6,0.00168337,0.037282686,-1.4697796,0.75974026,M6,0.250560554,0.638677412,-0.060607662,0.562222222,14306,9725,24031,,
ZBTB7B,M24,0.026731082,0.147838673,2.334426624,0.663419913,M24,0.059006757,0.376163315,0.020618792,0.586837607,11982,12044,24026,,
APPL2,M24,0.001150671,0.031367251,2.599945453,0.764069264,M24,0.218109104,0.610245402,0.015700738,0.561709402,14356,9667,24023,,
AVPR1A,M9,0.063623994,0.235746009,-4.093779781,0.632034632,M9,0.01506231,0.232315247,-1.688996342,0.611111111,10474.5,13548.5,24023,,
CHST6,unassigned,0.100536371,0.302635205,1.472504841,0.619047619,unassigned,0.003057549,0.154806744,0.426149879,0.62974359,9758.5,14264,24022.5,,
CDHR1,M16,0.00133645,0.033297519,1.96830708,0.746753247,M16,0.046346776,0.343604581,0.039972709,0.563589744,14137,9879.5,24016.5,,
ZNF704,unassigned,0.000685201,0.027784541,5.023835294,0.787878788,unassigned,0.075987794,0.408762719,0.240562382,0.55982906,14598.5,9417.5,24016,,
CCDC24,M19,0.019364489,0.122717185,3.268811075,0.682900433,M19,0.070265113,0.400312581,0.151231611,0.578119658,12677.5,11338,24015.5,,
HSPA12B,M10,0.034393372,0.168895833,-2.738417563,0.663419913,M10,0.228468603,0.618526313,-0.340935651,0.586666667,11982,12030.5,24012.5,,
CCNI,M37,0.029155953,0.153838974,-3.149604225,0.665584416,M37,0.239706268,0.629087115,-0.010328124,0.585470085,12068,11933.5,24001.5,,
DOCK4,unassigned,0.010273574,0.086217272,-3.852417297,0.703463203,unassigned,0.153961024,0.537681599,-0.126031956,0.571623932,13264.5,10737,24001.5,,
EPHX4,M14,0.002956496,0.046877742,-2.862830945,0.763528139,M14,0.225513828,0.61703531,-0.694277583,0.561538462,14354,9646,24000,,
COPS8,M20,0.007215649,0.072106067,-5.247931549,0.705627706,M20,0.084582772,0.426919192,-0.099326301,0.571111111,13313.5,10680,23993.5,,
RMND5A,M20,0.011608898,0.093161408,2.066058472,0.726190476,M20,0.128497849,0.506771086,0.043482328,0.566837607,13768,10225.5,23993.5,,
GRB2,M6,0.01028966,0.086217272,-4.664599602,0.688311688,M6,0.616685862,0.86428685,-0.007095427,0.575897436,12847,11145,23992,,
TEX11,unassigned,0.081675038,0.271990442,0.653261972,0.619047619,unassigned,0.012198438,0.214269788,1.730172527,0.628888889,9758.5,14233.5,23992,,
ADGRA3,unassigned,0.019017695,0.121795328,2.726851036,0.652597403,unassigned,0.023991908,0.272415587,0.095830479,0.592649573,11528,12461.5,23989.5,,
PIP5K1B,M20,0.018100306,0.118046318,2.303329347,0.641774892,M20,0.0463052,0.343604581,0.044685565,0.601367521,10992,12996,23988,,
TMEM263,M20,0.09225382,0.289344035,-1.449930756,0.636363636,M20,0.024551928,0.274984698,-0.070684512,0.605641026,10719,13268.5,23987.5,,
HDAC11,unassigned,0.03227164,0.16316317,2.940042624,0.661255411,unassigned,0.034307777,0.309570723,0.185444121,0.587179487,11896.5,12077,23973.5,,
PRF1,M7,0.031453838,0.160772497,-1.604436818,0.682900433,M7,0.179160444,0.566700824,-0.093425386,0.577606838,12677.5,11291.5,23969,,
MSLN,unassigned,0.266445985,0.512401136,-0.347448975,0.62987013,unassigned,0.023162491,0.267008282,0.09653125,0.611623932,10383,13582,23965,,
FERMT3,M6,0.000972673,0.030212092,-2.517840797,0.773809524,M6,0.338694373,0.7119692,-0.0185077,0.56034188,14459,9493.5,23952.5,,
NT5DC2,unassigned,0.029338407,0.154516565,-2.608133855,0.658008658,unassigned,0.06339994,0.388523847,-0.040578225,0.588717949,11771.5,12177,23948.5,,
AKAP5,unassigned,0.038635092,0.179628423,1.692478959,0.654761905,unassigned,0.029712645,0.294361057,0.28707446,0.590940171,11632.5,12315,23947.5,,
MAGED2,M10,0.00257771,0.0438477,-4.594087315,0.733766234,M10,0.417475504,0.762204935,-0.012982106,0.564957265,13920.5,10026.5,23947,,
FYTTD1,M20,0.009540473,0.082659614,-2.899665514,0.691558442,M20,0.124915742,0.502409924,-0.057350505,0.574188034,12939.5,11001.5,23941,,
CDV3,M6,0.1024191,0.305990647,-0.696597895,0.635281385,M6,0.068827781,0.398750578,-0.015058603,0.605470085,10671.5,13261.5,23933,,
WNK4,M20,0.005620856,0.063742209,2.186310215,0.728354978,M20,0.102365867,0.460473936,0.060181121,0.565641026,13820.5,10101.5,23922,,
ZNF296,unassigned,0.046402727,0.197957281,2.274107435,0.641774892,unassigned,0.050454597,0.355773653,0.506618358,0.60017094,10992,12924.5,23916.5,,
KIAA1211L,unassigned,0.047491169,0.200587701,3.08816931,0.647186147,unassigned,0.025799788,0.280628268,0.31065689,0.595213675,11276.5,12637,23913.5,,
DOK4,M20,0.038415331,0.1791918,1.579262392,0.66017316,M20,0.057914672,0.372973115,0.029898747,0.586837607,11862,12044,23906,,
SEC61B,M28,0.006832969,0.070614631,-6.483560802,0.701298701,M28,0.216716248,0.609696701,-0.008839843,0.571282051,13203.5,10701.5,23905,,
SMDT1,M19,0.205043408,0.445045976,1.820918693,0.61038961,M19,0.001623875,0.13068821,0.064384928,0.647179487,9237.5,14665.5,23903,,
NDUFA5,M20,0.041737686,0.187381457,2.413255001,0.664502165,M20,0.053143565,0.361233712,0.024130163,0.584786325,12025,11876.5,23901.5,,
HNRNPDL,M24,0.042225932,0.188257282,-2.045676856,0.677489177,M24,0.06731721,0.395549419,-0.015469924,0.578632479,12512,11384,23896,,
WFDC21P,unassigned,0.132610599,0.352480268,-1.2962938,0.645021645,unassigned,0.02957331,0.293598263,0.188088239,0.596923077,11167.5,12725.5,23893,,
SAMSN1,M20,0.000188852,0.024263656,-2.066781248,0.862554113,M20,0.516936566,0.814907732,-0.015167753,0.555726496,15007,8885.5,23892.5,,
FBXO25,M18,0.037117972,0.176011028,2.421003815,0.643939394,M18,0.014120014,0.22711076,0.104847131,0.597777778,11114.5,12777.5,23892,,
LRIG3,unassigned,0.079404925,0.267557854,0.79057148,0.643939394,unassigned,0.037791721,0.322588588,0.063318849,0.597606838,11114.5,12771.5,23886,,
ERBB3,M24,0.001240676,0.03252431,3.681507437,0.745670996,M24,0.125080633,0.502606041,0.014322259,0.562564103,14118.5,9767,23885.5,,
INPP4A,unassigned,0.003570338,0.050917002,-4.513317318,0.714285714,unassigned,0.159535211,0.542957134,-0.080060724,0.568205128,13523.5,10359.5,23883,,
NMRAL1,unassigned,0.109515538,0.316009886,2.65012764,0.628787879,unassigned,0.010823305,0.205802412,0.121257439,0.611282051,10322.5,13560,23882.5,,
CEP112,unassigned,0.098567422,0.299529942,-1.887339307,0.612554113,unassigned,0.010362871,0.203230662,-0.214450277,0.638461538,9398.5,14482,23880.5,,
SDHB,M17,0.061713469,0.231889908,2.426453013,0.654761905,M17,0.075501288,0.407628837,0.017819869,0.58974359,11632.5,12247,23879.5,,
SIRT7,M20,0.028019645,0.151087075,2.464359264,0.673160173,M20,0.103724831,0.463288577,0.060975018,0.58034188,12355,11524,23879,,
C16orf54,M6,0.001096026,0.030782277,-1.024621986,0.766233766,M6,0.321541418,0.696856376,-0.093510377,0.56034188,14384,9493.5,23877.5,,
AMPD2,M16,0.000982614,0.030213916,-4.835701751,0.773809524,M16,0.277629949,0.662730228,-0.03892011,0.55982906,14459,9417.5,23876.5,,
KIAA1522,M20,0.007986073,0.075488551,2.522711119,0.727272727,M20,0.144122646,0.526964772,0.0204812,0.565470085,13793.5,10082,23875.5,,
RTTN,unassigned,0.138848974,0.361402534,2.021035233,0.638528139,unassigned,0.044318217,0.338900642,-0.588399581,0.602051282,10833.5,13040.5,23874,,
S1PR4,M6,0.085754644,0.278857722,-1.926822694,0.641774892,M6,0.110997851,0.47621923,-0.10209092,0.599230769,10992,12880.5,23872.5,,
PPA2,M20,0.022409827,0.133476179,3.323926455,0.66017316,M20,0.105146382,0.465419652,0.016140745,0.586324786,11862,12009,23871,,
ETFB,M21,0.14385431,0.368275461,0.853294495,0.61038961,M21,0.001307217,0.122988546,0.056800752,0.645470085,9237.5,14626.5,23864,,
FAT4,unassigned,0.006806103,0.070607429,-2.200865505,0.745670996,unassigned,0.458611701,0.78314905,-0.166822104,0.562393162,14118.5,9745.5,23864,,
HIST1H2BN,unassigned,0.056598535,0.221617715,2.300428381,0.648268398,unassigned,0.033393045,0.305500096,-1.727773983,0.594017094,11317.5,12546,23863.5,,
CD109,M10,0.000868979,0.02943698,-4.19277619,0.792207792,M10,0.252601384,0.640684164,-0.348659956,0.558461538,14646.5,9216.5,23863,,
C1orf162,unassigned,0.000866953,0.02943698,-2.048103383,0.810064935,unassigned,0.144653456,0.527393541,-0.055311559,0.557435897,14766,9095.5,23861.5,,
EFEMP2,M10,0.00166634,0.037107471,-2.369089783,0.779220779,M10,0.21992523,0.611317352,-0.050338209,0.559316239,14520,9341.5,23861.5,,
CDK20,unassigned,0.129493676,0.347501918,1.521538103,0.638528139,unassigned,0.027240786,0.284819068,0.676345029,0.601880342,10833.5,13027,23860.5,,
FSCN1,M3,0.000951511,0.030156377,-2.475019928,0.786796537,M3,0.67298449,0.886700174,-0.014088636,0.558803419,14586.5,9274,23860.5,,
CDC27,unassigned,0.02163107,0.131111792,-2.266031128,0.667748918,unassigned,0.059393013,0.377261528,-0.066343382,0.582735043,12151.5,11708,23859.5,,
RETSAT,M24,0.027137994,0.148677643,1.250174706,0.673160173,M24,0.071656539,0.403296544,0.017848574,0.58,12355,11503.5,23858.5,,
RASL12,M10,0.002747255,0.045454498,-2.575395479,0.756493506,M10,0.510658273,0.810628886,-0.074227456,0.561025641,14274,9575.5,23849.5,,
RNF32,unassigned,0.068696637,0.245803127,3.940846568,0.647186147,unassigned,0.041216281,0.330403464,0.758630478,0.594529915,11276.5,12573,23849.5,,
PRADC1,M19,0.072564843,0.253469335,1.442039711,0.646103896,M19,0.122283921,0.497349619,0.067934994,0.594871795,11237.5,12608,23845.5,,
ROGDI,unassigned,0.189802816,0.427463989,0.906549483,0.628787879,unassigned,0.015552436,0.232315247,0.089501634,0.61042735,10322.5,13521,23843.5,,
PROCR,unassigned,0.000685384,0.027784541,-2.4731497,0.795454545,unassigned,0.278462299,0.662971031,-0.03631507,0.558119658,14675.5,9167.5,23843,,
NAB2,M3,0.015149284,0.10719951,-3.112762577,0.686147186,M3,0.186769709,0.576200495,-0.123646333,0.575042735,12773.5,11068,23841.5,,
NYAP2,unassigned,0.002840242,0.046198725,5.118841285,0.737012987,unassigned,0.210852729,0.602147754,-8.274787251,0.563333333,13989,9852.5,23841.5,,
ITGAL,M6,0.006472897,0.068699191,-1.302481931,0.712121212,M6,0.301833358,0.68116272,-0.023412812,0.568376068,13468.5,10372.5,23841,,
TMEM150C,M20,0.006174161,0.066778594,-2.234163868,0.735930736,M20,0.269267135,0.655301164,-0.176509133,0.563589744,13961.5,9879.5,23841,,
ID2-AS1,M16,0.076792237,0.261612541,2.673482758,0.642857143,M16,0.022917243,0.265510174,0.293629833,0.597777778,11057.5,12780,23837.5,,
ABHD12,unassigned,0.085367847,0.278290334,1.504085588,0.636363636,unassigned,0.022761615,0.265135271,0.08672422,0.603076923,10719,13118,23837,,
CHL1,unassigned,0.028448699,0.151787512,-2.363501828,0.702380952,unassigned,0.100893021,0.45837211,-0.111476931,0.57025641,13245.5,10591,23836.5,,
KIFC2,M20,0.017229576,0.114863794,2.527437801,0.692640693,M20,0.095427862,0.44732993,0.070578876,0.572991453,12966.5,10869,23835.5,,
DPYD,unassigned,0.038541881,0.179511284,-1.860420468,0.640692641,unassigned,0.078356423,0.412989098,-0.118731513,0.59982906,10924.5,12908.5,23833,,
MVB12B,unassigned,0.007461237,0.073302804,7.450711537,0.695887446,unassigned,0.04977716,0.353455005,0.342828094,0.571965812,13059.5,10771.5,23831,,
APLNR,M2,0.026122821,0.14584288,-1.438715466,0.678571429,M2,0.151706712,0.534909037,-0.056153812,0.577435897,12553,11276.5,23829.5,,
CFAP54,unassigned,0.004899815,0.059297872,-8.07281504,0.75,unassigned,0.153792423,0.537420206,-0.55125766,0.561623932,14172.5,9655.5,23828,,
DAPK2,M24,0.051292835,0.210011952,1.257468075,0.656926407,M24,0.048453718,0.350721096,0.073788986,0.587521368,11721,12107,23828,,
PRSS3,M20,0.050689968,0.208654863,1.541912567,0.633116883,M20,0.041901729,0.331674103,0.014712191,0.606324786,10525,13301.5,23826.5,,
MALT1,M6,0.018353051,0.119139556,-1.720305812,0.664502165,M6,0.050495603,0.355916761,-0.103913651,0.583931624,12025,11799.5,23824.5,,
FOXA3,M20,0.04581971,0.196965899,1.230552184,0.66017316,M20,0.123283488,0.499810867,0.047013686,0.585811966,11862,11961,23823,,
IGF2BP2-AS1,unassigned,0.037265828,0.176425421,6.281525329,0.67965368,unassigned,0.51931175,0.815940839,0.65347707,0.576923077,12582,11236,23818,,
IKZF1,M6,0.005842405,0.065014355,-3.008533905,0.712121212,M6,0.439243369,0.773595589,-0.023284178,0.568034188,13468.5,10345.5,23814,,
TMPRSS4,M20,0.067840546,0.244523712,1.105190422,0.661255411,M20,0.035960811,0.317245526,0.013713762,0.585299145,11896.5,11917.5,23814,,
GAK,M20,0.02369784,0.137664714,3.661703077,0.665584416,M20,0.109994704,0.473919432,0.022020914,0.583247863,12068,11744.5,23812.5,,
ADAMTS1,M1,0.001056285,0.030782277,-2.198337048,0.817099567,M1,0.258776576,0.646207313,-0.031060677,0.556752137,14801.5,9010.5,23812,,
TP53I11,M21,0.064265783,0.236767958,2.798713883,0.640692641,M21,0.032386179,0.302716405,0.043653734,0.599316239,10924.5,12887.5,23812,,
SAMHD1,M20,0.001349459,0.033478917,-2.315229683,0.762987013,M20,0.239400099,0.628948755,-0.021483545,0.56017094,14345.5,9465.5,23811,,
VAMP8,M19,0.052924592,0.213668099,2.114532031,0.645021645,M19,0.040745171,0.329120974,0.01132774,0.595384615,11167.5,12643.5,23811,,
BMP6,unassigned,0.109064485,0.31534472,-2.859597631,0.628787879,unassigned,0.031989647,0.30136627,-0.319481133,0.60957265,10322.5,13485.5,23808,,
RPS15,M38,0.044600739,0.193898571,4.277899845,0.616883117,M38,0.005593016,0.16999212,0.00554524,0.626495726,9642.5,14165,23807.5,,
WFDC1,unassigned,0.014753292,0.105719606,-1.62133985,0.675324675,unassigned,0.158360666,0.542056062,-0.077849917,0.578461538,12434.5,11370.5,23805,,
WDR78,unassigned,0.024350609,0.139989303,1.705033738,0.673160173,unassigned,0.038648567,0.325053264,0.333562087,0.579401709,12355,11448,23803,,
HES6,M20,0.002042322,0.040118727,6.800833409,0.766233766,M20,0.404589824,0.75489358,-0.021893825,0.55982906,14384,9417.5,23801.5,,
REG4,M11,0.033078396,0.165381466,-0.67344936,0.656926407,M11,0.164259447,0.548799783,-0.001002011,0.587179487,11721,12077,23798,,
NEURL1B,unassigned,0.012104147,0.094926235,0.95066283,0.695887446,unassigned,0.063611084,0.388610276,0.11761378,0.571623932,13059.5,10737,23796.5,,
CIB2,M25,0.240028666,0.485520947,0.723263738,0.643939394,M25,0.100059927,0.457045098,0.160585101,0.596068376,11114.5,12680.5,23795,,
D2HGDH,M20,0.033021107,0.165209443,2.224998723,0.70021645,M20,0.082505313,0.422048307,0.049121374,0.57042735,13184.5,10609.5,23794,,
USP30,unassigned,0.017896492,0.117238223,1.711817888,0.666666667,unassigned,0.033897557,0.308398233,0.241171479,0.582393162,12118,11676,23794,,
THRA,unassigned,0.050317947,0.208002888,3.266905496,0.653679654,unassigned,0.0274952,0.284819068,0.126462276,0.589401709,11566,12226,23792,,
B4GALNT1,M8,0.015552471,0.109012843,3.620917674,0.69047619,M8,0.160564776,0.543921523,-0.655426886,0.572991453,12911.5,10880,23791.5,,
GRK5,M3,0.006178949,0.066778594,-3.150591499,0.694805195,M3,0.2503535,0.638587193,-0.048445891,0.571794872,13034,10755,23789,,
H1F0,M20,0.044873713,0.194535491,1.448206056,0.678571429,M20,0.133568899,0.513654049,0.011121774,0.576923077,12553,11236,23789,,
NAIP,unassigned,0.00129561,0.03319451,-3.423511622,0.769480519,unassigned,0.122431118,0.497774743,-0.076644857,0.559487179,14419,9369,23788,,
SEPHS2,M24,0.060206627,0.229014386,0.888324199,0.668831169,M24,0.062717638,0.386747867,0.044881852,0.581367521,12183,11604,23787,,
DDAH2,unassigned,0.081021424,0.270995631,1.157959998,0.606060606,unassigned,0.000988499,0.120872624,0.08947185,0.658461538,8950,14832.5,23782.5,,
C9orf152,M16,0.110561621,0.317460489,0.732097755,0.62987013,M16,0.017620126,0.243587039,0.052815113,0.607863248,10383,13399,23782,,
NFKBIE,M6,0.008623645,0.07854158,-1.926498174,0.695887446,M6,0.550947054,0.830940379,-0.031307534,0.571452991,13059.5,10718,23777.5,,
CACNA1I,unassigned,0.017281671,0.115022353,4.070488775,0.652597403,unassigned,0.036626595,0.31863351,-4.423690072,0.58974359,11528,12247,23775,,
MED9,M20,0.0303966,0.157649284,2.525125624,0.661255411,M20,0.065266238,0.391976052,0.283137148,0.584615385,11914,11861,23775,,
ARHGEF15,unassigned,0.139910408,0.363176555,-2.250128648,0.619047619,unassigned,0.026272484,0.282596825,-0.353196313,0.622051282,9758.5,14016,23774.5,,
LINC00528,M6,0.041347641,0.186514083,-2.416373743,0.688311688,M6,0.199808174,0.590303689,-0.554624011,0.573504274,12847,10927.5,23774.5,,
NOTCH4,M2,0.094762702,0.293699023,-2.66695346,0.606060606,M2,0.003905982,0.158717364,-0.507208541,0.657777778,8950,14824.5,23774.5,,
LARP6,M10,0.001288041,0.03319451,-5.050730038,0.757575758,M10,0.230263006,0.619606398,-0.281678,0.56034188,14280.5,9493.5,23774,,
PJA1,unassigned,0.005611613,0.063683307,-2.732429196,0.703463203,unassigned,0.245727286,0.634936957,-0.154011421,0.56974359,13264.5,10509.5,23774,,
CMKLR1,unassigned,0.004730281,0.058354975,-4.729312604,0.725108225,unassigned,0.21462048,0.606399417,-0.081611691,0.564957265,13744.5,10026.5,23771,,
SPIRE1,unassigned,0.007148753,0.071894329,-2.78309686,0.725108225,unassigned,0.366005665,0.730898977,-0.134097907,0.564957265,13744.5,10026.5,23771,,
LRRC25,unassigned,0.006218324,0.066945941,-2.734350697,0.762445887,unassigned,0.47127347,0.79077617,-0.056596614,0.55991453,14337,9431.5,23768.5,,
LPO,unassigned,0.031027972,0.159385687,2.665023424,0.670995671,unassigned,0.043851697,0.337532358,-2.863153516,0.57982906,12279,11487,23766,,
STK4,M6,0.022836223,0.135135799,-2.774607473,0.695887446,M6,0.221486438,0.613009501,-0.057033052,0.571282051,13059.5,10701.5,23761,,
PIK3R3,M20,0.056973417,0.222398888,-2.245068441,0.646103896,M20,0.065950155,0.392884822,-0.160241835,0.594017094,11210.5,12546,23756.5,,
MYH10,M10,0.002583038,0.0438477,-2.321234449,0.737012987,M10,0.181668426,0.56892843,-0.139835861,0.562564103,13989,9767,23756,,
MROH7,unassigned,0.056334258,0.221133401,2.20828172,0.653679654,unassigned,0.010178084,0.201528329,1.021068561,0.588888889,11566,12189,23755,,
MYL5,unassigned,0.02091247,0.128791011,2.006999086,0.66991342,unassigned,0.125165617,0.502659539,0.079702992,0.58017094,12234,11516,23750,,
PUDP,M20,0.145689944,0.370862135,0.723862261,0.613636364,M20,0.013839333,0.225457854,0.090743706,0.631282051,9438.5,14305,23743.5,,
STARD3NL,unassigned,0.09402438,0.292505829,-2.01743327,0.627705628,unassigned,0.051028296,0.357071091,-0.121116153,0.60974359,10248.5,13492,23740.5,,
TMEM59,unassigned,0.015820721,0.11005932,4.930042784,0.685064935,unassigned,0.067783781,0.39665315,0.004274384,0.574188034,12736.5,11001.5,23738,,
RGS10,unassigned,0.000499213,0.025333221,-5.055657548,0.804112554,unassigned,0.261169758,0.647977433,0.02255604,0.556581197,14728.5,9001.5,23730,,
SLC35B3,M3,0.016286574,0.111916392,2.262251083,0.676406926,M3,0.148863904,0.532029516,0.044298354,0.577094017,12475.5,11251.5,23727,,
SCPEP1,M6,0.195283209,0.433843163,-0.954090537,0.646103896,M6,0.031822225,0.300889346,-0.044100947,0.593504274,11210.5,12514.5,23725,,
DMD,unassigned,0.051529965,0.210452957,-2.817228177,0.625541126,unassigned,0.030201601,0.296364876,-0.318236016,0.611282051,10164.5,13560,23724.5,,
NR3C2,M20,0.001015473,0.030615866,1.956031873,0.767316017,M20,0.138919069,0.521228302,0.036109423,0.559145299,14396,9324,23720,,
PDE3A,M6,0.008083082,0.076008476,1.849147047,0.685064935,M6,0.045336016,0.341676403,0.111756156,0.574017094,12736.5,10983,23719.5,,
SLC2A13,unassigned,0.054731151,0.21717111,1.614561081,0.662337662,unassigned,0.101044606,0.458691865,-0.070852759,0.583589744,11941.5,11770,23711.5,,
HES2,M16,0.005365783,0.062057643,3.899222328,0.738095238,M16,0.247379356,0.636117178,0.074862647,0.562051282,14008,9703,23711,,
MS4A4A,unassigned,0.000888096,0.02943698,-2.577447722,0.798701299,unassigned,0.177911658,0.565293423,-0.04892823,0.556752137,14696,9010.5,23706.5,,
RRM2B,unassigned,0.036858117,0.175380309,-1.573636491,0.659090909,unassigned,0.214822192,0.606679483,-0.112890662,0.584957265,11816,11890.5,23706.5,,
SCAP,M21,0.081651057,0.271990442,1.666659664,0.672077922,M21,0.065808931,0.392884822,0.057151608,0.578632479,12316,11390.5,23706.5,,
SDCCAG8,M10,0.06986198,0.247573095,-3.930472584,0.658008658,M10,0.100475054,0.45808452,-0.125862683,0.585470085,11771.5,11933.5,23705,,
GREB1,M14,0.212651626,0.45412548,-3.340564427,0.615800866,M14,0.01800787,0.244603991,-1.885335266,0.625641026,9565.5,14139,23704.5,,
PCDH12,M2,0.026146797,0.145889665,-2.593829193,0.663961039,M2,0.142259947,0.524775924,-0.535514282,0.582564103,12002,11698.5,23700.5,,
POMK,unassigned,0.002991752,0.047236029,3.671704418,0.728354978,unassigned,0.150761474,0.534390929,-0.448712532,0.563589744,13820.5,9879.5,23700,,
VIM,M10,0.00017899,0.024263656,-2.613986346,0.824675325,M10,0.505588265,0.808020072,-0.001264254,0.555555556,14837.5,8860.5,23698,,
CEBPA,M20,0.042283586,0.188429753,1.294357105,0.652597403,M20,0.031716902,0.300889346,0.078790601,0.588547009,11528,12167.5,23695.5,,
PTPN7,M6,0.027976895,0.150908294,-2.050291166,0.681818182,M6,0.266507868,0.652974416,-0.034137111,0.574871795,12641,11054,23695,,
KCNJ16,unassigned,0.816392753,0.91142321,-0.111118667,0.623376623,unassigned,0.046407284,0.343604581,1.670694075,0.613589744,10008.5,13671,23679.5,,
NR6A1,M24,0.01235333,0.095516362,5.662856043,0.685064935,M24,0.034211882,0.309570723,1.380281179,0.573675214,12736.5,10940,23676.5,,
TMEM254,M20,0.035610142,0.171917671,1.984715966,0.67965368,M20,0.118089955,0.490066409,0.055945939,0.575299145,12582,11092.5,23674.5,,
EID1,M10,0.002569177,0.0438477,-3.408072131,0.737012987,M10,0.453596236,0.781206812,-0.015492458,0.561880342,13989,9684,23673,,
FAAH2,M20,0.060706582,0.230140714,2.11512647,0.630952381,M20,0.010159374,0.201528329,0.334826666,0.605128205,10425,13246,23671,,
GNG2,M3,0.001854851,0.038882231,-3.931678259,0.762987013,M3,0.383235447,0.742667686,-0.040537056,0.559145299,14345.5,9324,23669.5,,
PLAT,unassigned,0.001357091,0.033562406,-1.396858274,0.756493506,unassigned,0.242491783,0.632424055,-0.009138389,0.55965812,14274,9394.5,23668.5,,
ELF3,M20,0.005562103,0.063212662,2.080011593,0.732683983,M20,0.242117971,0.631887207,0.002009497,0.562564103,13898.5,9767,23665.5,,
LRRN2,unassigned,0.013039107,0.09869688,5.635405068,0.678571429,unassigned,0.060152917,0.378443153,0.463145521,0.575555556,12553,11112,23665,,
ZBTB7C,unassigned,0.170398266,0.403826176,0.889624276,0.613636364,unassigned,0.002244479,0.143159024,0.196007253,0.628717949,9438.5,14224,23662.5,,
NDUFS7,M19,0.172435106,0.406997567,1.98720879,0.608225108,M19,0.004185656,0.160731013,0.040917599,0.642393162,9086,14575.5,23661.5,,
TNFAIP3,M1,0.008205703,0.076825895,-1.178035026,0.701298701,M1,0.148545019,0.531908249,-0.019229582,0.569230769,13203.5,10455.5,23659,,
LTC4S,M20,0.022944525,0.135420048,-3.327417073,0.712121212,M20,0.057921016,0.372973115,0.227689321,0.566666667,13453,10205,23658,,
AGO2,unassigned,0.085510632,0.278467231,-1.040822671,0.652597403,unassigned,0.040475706,0.328470064,-0.140971162,0.587863248,11528,12129.5,23657.5,,
SLC25A34,M24,0.457111321,0.682477833,0.232464073,0.606060606,M24,0.021932229,0.260093364,0.470313486,0.649401709,8950,14704,23654,,
ERMP1,M20,0.008674951,0.078756238,1.716698774,0.703463203,M20,0.110955949,0.476165819,0.063103581,0.568547009,13264.5,10388,23652.5,,
